DOID:3265	chronic granulomatous disease	 	D006105	C26788	1535, 1536, 1666, 26040, 27035, 4197, 4297, 4688, 63976, 654817, 7124, 79400
DOID:1678	chronic interstitial cystitis	595.1	D018856	 	1839, 1950, 2255, 3569
DOID:784	chronic kidney failure	585.6	D007676	C9438	2152, 3383, 3385, 3952, 4162, 4353, 4524, 56729, 57817, 5806, 624, 6359, 6401, 6521, 7099, 7422, 9332, 9365
DOID:1036	chronic leukemia	 	 	 	3552, 3569, 3717, 4170, 595
DOID:1040	chronic lymphocytic leukemia	 	D015451	 	10018, 1029, 10411, 1043, 10563, 10673, 10725, 11006, 11040, 11086, 11200, 1147, 1437, 1493, 1612, 2022, 2056, 207, 208, 213, 2149, 2208, 2247, 283, 28444, 290, 2944, 2950, 2952, 3201, 329, 330, 3320, 3439, 3458, 3459, 3495, 3506, 3507, 3509, 3551, 3553, 3558, 355, 3565, 3569, 356, 3662, 3676, 3688, 3717, 3791, 3903, 3911, 4023, 406948, 4092, 4170, 4193, 4288, 4292, 4311, 4318, 4524, 472, 5027, 5054, 5140, 5141, 5142, 5144, 5155, 5327, 5366, 57379, 574028, 5800, 581, 5888, 5893, 59067, 5910, 595, 596, 5970, 597, 6007, 613, 633, 6356, 6363, 6366, 6367, 6387, 6422, 643, 6521, 6688, 7124, 7173, 7185, 752, 79368, 80380, 8797, 8829, 914, 9214, 921, 9308, 931, 9531
DOID:8552	chronic myeloid leukemia	205.1	D015464	C3174	10018, 1026, 1029, 12043, 1399, 1543, 1991, 207, 2120, 2122, 25, 2623, 290, 2944, 317, 3206, 3207, 3265, 3439, 3717, 3815, 4067, 406952, 4170, 4311, 4524, 4582, 5004, 5026, 5294, 59335, 595, 596, 598, 613, 6198, 648, 672, 7422, 861, 867, 8835, 8863, 9021, 9141, 947
DOID:11500	chronic obstructive pulmonary disease	 	D029424	C3199	3579
DOID:3083	chronic obstructive pulmonary disease	 	D029424	C3199	10663, 10, 11315, 11318, 1159, 1179, 1234, 133, 135, 1401, 142, 1432, 1543, 1544, 154, 1636, 2006, 2052, 2056, 2260, 246778, 25589, 260431, 26279, 2638, 2729, 2944, 2950, 2952, 3383, 3553, 3557, 3569, 3576, 3586, 3587, 3596, 3606, 3627, 3683, 3684, 3689, 3791, 3952, 4153, 4312, 4318, 4321, 4323, 4586, 487, 488, 5141, 5144, 5328, 6352, 6356, 6373, 6439, 6441, 6517, 6532, 653509, 6556, 6590, 6648, 6649, 6692, 7076, 7097, 7099, 719, 720, 728, 7422, 820, 847, 9122, 925, 9370, 9446
DOID:12558	chronic progressive external ophthalmoplegia	378.72	D017246	 	291, 4550, 4565, 5428, 5442, 56652
DOID:2985	chronic rejection of renal transplant	 	 	C38145	1026, 1234, 1490, 1636, 183, 2011, 2621, 29851, 3627, 4283, 4313, 4524, 6352, 655, 80310, 943
DOID:1231	chronic schizophrenia	 	 	C35270	3358, 4684
DOID:8548	chronic ulcer of skin	707	 	 	2162, 4311
DOID:8549	chronic ulcer of skin	707	 	 	4233, 5111
DOID:3049	Churg-Strauss syndrome	 	D015267	C34481	3586, 6037, 780
DOID:9273	citrullinemia	 	D020159	C84639	10165, 445
DOID:4468	clear cell adenocarcinoma	 	D008649	C4072	10061, 123, 2130, 2272, 2719, 3091, 331, 3624, 3855, 4072, 4286, 4313, 4582, 466, 5154, 5745, 6696, 7071, 7077, 7428, 916
DOID:5867	clear cell chondrosarcoma	 	 	C6475	3549
DOID:4233	clear cell sarcoma	 	D018227	C3745	1956, 2065, 2130, 3481, 3815, 4609, 466
DOID:674	cleft palate	749	D002972	C87069	2246, 2260, 2304, 245572, 2571, 3664, 4487, 4522, 4524, 4548, 5818, 6259, 652, 9915, 9
DOID:13994	cleidocranial dysplasia	 	D002973	C75020	860
DOID:13767	clonorchiasis	121.1	D003003	 	355, 356, 836
DOID:14693	Clouston syndrome	 	D004476	 	10804
DOID:928	CNS metastases	 	 	 	1608, 2643, 26471, 3423, 4313, 5071, 6347, 7077
DOID:2962	Cockayne syndrome	 	D003057	C9460	1161, 2068, 2073, 2074, 22592, 328, 4000
DOID:3783	Coffin-Lowry syndrome	 	D038921	C84643	6197
DOID:234	colon adenocarcinoma	 	 	C4349	1048, 11156, 1432, 1869, 1977, 2182, 2305, 2735, 301, 302, 308, 335, 3655, 3691, 3855, 3960, 4595, 5376, 5743, 57460, 590, 6469, 6480, 6521, 7298, 811, 857, 8829
DOID:219	colon cancer	153.9	D003110	C9242	1026, 1029, 102, 10370, 10392, 10395, 10410, 1044, 1045, 1048, 10521, 10631, 10659, 1072, 10800, 10825, 10953, 10988, 11034, 11054, 11065, 11093, 1111, 1139, 114606, 116, 11799, 117, 1191, 140, 1432, 1445, 1493, 1499, 1525, 1543, 1604, 1605, 16168, 1647, 1649, 1655, 17128, 17395, 18033, 1841, 1869, 1874, 1902, 1906, 19126, 19225, 1948, 1956, 1977, 19878, 1994, 2052, 2064, 207, 2100, 21345, 21405, 2149, 2150, 2224, 2264, 231, 240, 24329, 27035, 27044, 27121, 2729, 27429, 274, 28517, 29071, 2944, 2952, 2956, 303729, 3091, 3092, 3105, 3248, 324, 3251, 3269, 3274, 3297, 3303, 330, 3312, 331, 3320, 332, 3383, 339221, 340706, 3479, 3480, 3486, 355, 356, 3576, 3586, 3600, 3611, 3667, 3672, 3673, 3678, 3688, 3691, 3694, 3717, 3725, 374907, 3816, 3845, 387, 3897, 3934, 3936, 3952, 3958, 3959, 406881, 4070, 4089, 4144, 4145, 4192, 4193, 4233, 4249, 4292, 4313, 4316, 4318, 4322, 4345, 43, 4436, 4481, 4486, 4524, 4582, 4583, 4586, 4595, 4602, 4609, 472, 474, 488, 5052, 50689, 5294, 52, 5321, 5329, 5347, 5414, 5420, 5424, 545, 55922, 56616, 56937, 572, 5743, 5744, 5747, 5770, 581, 58477, 5879, 5915, 59340, 596, 598, 6059, 6093, 6159, 6303, 634, 637, 6387, 6401, 6416, 64386, 6464, 64682, 64866, 652, 655, 6566, 657, 6596, 6615, 6624, 6642, 6648, 6667, 6678, 6690, 6696, 673, 682, 7076, 7100, 7185, 7298, 7351, 7422, 767, 79816, 80279, 80705, 811, 836, 841, 857, 858, 8817, 8824, 8837, 8841, 8842, 887, 8881, 8930, 8996, 9076, 9131, 9170, 9245, 92, 9314, 9351, 9429, 9564, 9965
DOID:1520	colon carcinoma	 	 	C4910	10018, 1026, 10415, 1048, 10562, 10800, 11132, 11156, 11184, 1179, 1487, 1499, 1543, 16168, 1890, 1948, 1949, 1956, 2033, 2149, 24296, 26574, 2678, 27250, 27330, 3303, 3329, 332, 3336, 3486, 355, 356, 3576, 3600, 3718, 3732, 3845, 3875, 3957, 3958, 4000, 4072, 4089, 4292, 4316, 4323, 444, 4507, 4582, 4772, 4773, 573, 57531, 581, 6383, 6401, 6402, 6403, 643, 6693, 672, 7078, 7114, 7124, 7184, 839, 846, 8797, 8837, 9604
DOID:5353	colonic disease	 	D003108	 	7099
DOID:235	colonic neoplasm	 	D003110	C37904	10397, 1152, 117, 1401, 1499, 17833, 2192, 2264, 259274, 27035, 28514, 3190, 332, 3565, 3569, 3845, 4015, 4524, 4582, 4586, 5743, 596, 598, 6288, 6493, 673, 682837, 7074, 794, 80351, 9965
DOID:13399	color blindness	368.5	D003117	C3891	1527
DOID:11662	color vision defect	 	D003117	 	1527, 611
DOID:628	combined T cell and B cell immunodeficiency	279.2	 	C27871	3718, 5896
DOID:2905	commensal Escherichia coli infectious disease	 	D004927	C34594	10971, 2829859, 4057, 7099
DOID:2898	commensal streptococcal infectious disease	 	D013290	C87062	5329
DOID:10459	common cold	460	D003139	C78599	10901, 1180, 142, 152, 231, 3303, 3579, 3763, 4023, 6093, 6329, 6403, 673, 79054
DOID:12177	common variable immunodeficiency	279.06	D017074	C26725	10673, 29851, 3574, 4068, 695, 930, 942, 943
DOID:11165	common wart	78.1	D014860	C5028	1956, 27429, 3117, 3119, 9113
DOID:626	complement deficiency	 	 	C4691	335, 3501
DOID:3223	complex regional pain syndrome	 	D020918	 	3569
DOID:12995	conduct disorder	312.9	D019955	 	217, 3351, 6531, 6532
DOID:2236	congenital afibrinogenemia	 	D000347	C26692	2243, 2244, 2266, 3426
DOID:1086	congenital chromosomal disease	758.9	D025063	C34470	2035, 4627
DOID:759	congenital disorder	759.9	D000013	C2849	100049707, 10008, 100133941, 10059, 1026, 1028, 1029, 1030, 10585, 10652, 10653, 10666, 10673, 10736, 1080, 1082, 10855, 10947, 10984, 11006, 1103, 11146, 11334, 1137, 1139, 1141, 1184, 1401, 1441, 1490, 1499, 1544, 1545, 16776, 17684, 18027, 182, 18505, 1861, 18741, 18764, 190, 1948, 1956, 1958, 199713, 2006, 20147, 2033, 2048, 2055, 2056, 208, 2131, 2132, 2138, 2153, 2166, 2177, 21, 2261, 2263, 2272, 2296, 2303, 2304, 2308, 249, 24, 2582, 25, 2625, 2641, 2670, 2688, 2690, 2692, 27011, 2706, 2737, 2768, 283120, 3091, 3195, 3198, 3239, 324, 326625, 326, 3284, 3290, 3291, 3295, 3304, 332, 3375, 3479, 348938, 348, 351, 3559, 3572, 3575, 3577, 3586, 3588, 3630, 3640, 3667, 367, 3730, 3741, 3764, 3767, 378708, 3816, 3845, 3908, 3911, 3912, 3915, 3972, 3981, 4000, 4010, 4014, 4036, 4137, 4255, 4291, 4292, 4297, 4314, 4478, 4487, 4524, 4548, 4552, 4593, 4594, 4625, 4627, 467, 4693, 4763, 4771, 4774, 487, 4990, 5048, 5055, 5071, 5080, 5309, 5311, 5318, 5340, 5354, 5359, 538, 540, 55997, 56729, 57167, 571, 57761, 5788, 5915, 5925, 595, 5962, 5967, 5968, 596, 60675, 60, 613, 6247, 6261, 6331, 6385, 639, 64127, 64220, 64221, 643631, 6439, 6440, 6468, 6469, 6500, 65018, 652, 6532, 6622, 6647, 6657, 6683, 7078, 7097, 7099, 70, 7124, 7169, 7249, 7276, 7299, 7305, 7428, 7430, 7450, 7476, 7480, 7490, 773, 79840, 836, 845, 861, 875, 8893, 889, 8945, 919, 9370, 9401, 9444, 9839
DOID:1338	congenital dyserythropoietic anemia	 	D000742	C84646	2067, 2068, 2595, 2623
DOID:990	congenital heart block	746.86	C535758	 	7124
DOID:11631	congenital hypothyroidism	243	D003409	C26734	2304, 7080, 7124, 7173, 7253
DOID:11632	congenital hypothyroidism	243	D003409	C26734	2304, 7080, 7124, 7173, 7253
DOID:1696	congenital ichthyosiform erythroderma	 	D017490	C84805	242
DOID:1695	congenital ichthyosis	757.1	C538579	 	26276, 2706, 3849, 57104, 9333, 9342
DOID:3635	congenital myasthenic syndrome	 	D020294	C84647	1134, 1145, 285489, 5913
DOID:2490	congenital nervous system abnormality	742	 	 	18027, 4036, 4774
DOID:13336	congenital toxoplasmosis	 	D014125	C50503	24
DOID:395	congestive heart failure	428.9	D006333	C50577	10911, 1231, 133, 135, 1489, 153, 154, 1636, 185, 186, 1909, 1910, 2170, 2697, 270, 3484, 3572, 359, 3753, 3784, 4318, 5350, 5423, 5744, 6331, 6347, 7078, 7082, 7124, 79902, 874, 9815
DOID:6000	congestive heart failure	428.9	D006333	C50577	10014, 10398, 10411, 1080, 1113, 11188, 112, 113900, 11545, 1231, 133, 1401, 142, 1432, 1511, 1535, 153, 154, 171052, 1843, 185, 1906, 2152, 2247, 2281, 2296, 2303, 24842, 25591, 2628, 26471, 2697, 27063, 27086, 270, 309757, 3106, 3329, 3479, 3572, 359, 3606, 3752, 3757, 3910, 4015, 403598, 406904, 4134, 4312, 4318, 4322, 4607, 4624, 4625, 483624, 5350, 56729, 57142, 5744, 5813, 5814, 623, 6262, 6271, 6331, 63868, 6513, 6517, 6532, 6649, 6696, 689560, 7076, 7082, 7099, 7122, 7124, 7222, 79400, 817, 834, 8996, 9429, 9759
DOID:5467	conjunctival cancer	 	D003230	C2961	673
DOID:177	connective tissue benign neoplasm	 	D012983	C3377	4288, 595, 896
DOID:65	connective tissue disease	 	D003240	C26729	10491, 1051, 1636, 2200, 4312, 6625, 94
DOID:2089	constipation	564	D003248	C37930	6532
DOID:2773	contact dermatitis	 	D003877	C26743	3350
DOID:8771	contagious pustular dermatitis	51.2	D004474	 	1234, 5003, 6646, 767558, 79132
DOID:895	copper metabolism disease	275.1	 	 	331, 540
DOID:8515	cor pulmonale	 	D011660	 	57190
DOID:10124	corneal disease	371.9	D003316	C26731	6667
DOID:2566	corneal dystrophy	371.5	D003317	C34512	3859, 4070
DOID:8463	corneal ulcer	370	D003320	C50515	4313, 4318, 4586
DOID:11725	Cornelia de Lange syndrome	 	D003635	C75016	9126
DOID:3362	coronary aneurysm	414.11	D003323	 	4318, 5054
DOID:3363	coronary arteriosclerosis	414	D003324	C35505	10068, 100, 10365, 10392, 1071, 118, 1191, 1231, 1234, 125, 1401, 1471, 1524, 1535, 1543, 155, 1636, 177, 1839, 183, 185, 186, 1889, 1906, 1909, 1910, 19, 2052, 2099, 2100, 213, 2147, 2152, 2153, 2157, 2160, 2161, 2162, 217, 2204, 2214, 240, 241, 246, 255738, 257313, 2624, 2643, 2701, 270, 2730, 284, 285, 2944, 2952, 3091, 3304, 3315, 3329, 335, 336, 337, 338376, 3383, 338, 345, 3479, 3484, 3486, 348, 3565, 3569, 3574, 3576, 3586, 3606, 3627, 3674, 367, 368, 3690, 3767, 3791, 3815, 3931, 3949, 3952, 3957, 3990, 4018, 4023, 4040, 4045, 4049, 4205, 4256, 4313, 4314, 4318, 4353, 4524, 4688, 5051, 5054, 5144, 522, 5320, 5360, 5444, 55937, 56606, 56729, 590, 627, 6310, 6347, 6352, 6356, 6373, 6376, 6401, 6402, 6403, 6404, 6464, 64805, 654817, 6649, 7096, 7097, 7099, 7273, 7351, 7448, 7450, 7486, 79001, 80149, 846, 875, 8997, 929, 9370, 9388, 941, 942
DOID:3393	coronary heart disease	 	D003327	C26732	10068, 10392, 1071, 1191, 1231, 1234, 1401, 1524, 1535, 154, 1636, 177, 183, 185, 186, 19, 2052, 2099, 213, 2155, 2204, 221458, 255738, 270, 335, 337, 338, 341, 344, 345, 3479, 3484, 3486, 348, 3553, 3557, 3569, 3576, 3606, 3627, 3767, 3791, 3949, 3952, 4018, 4023, 4205, 4256, 4313, 4318, 4524, 4548, 5054, 522, 5360, 5444, 6347, 6403, 6404, 7450, 79001, 9370
DOID:4247	coronary restenosis	 	D023903	 	1636, 21926, 7097
DOID:4248	coronary stenosis	 	D023921	C80427	1071, 1401, 1535, 1636, 185, 3383, 3683, 5054
DOID:2946	coronavirus infectious disease	 	D018352	 	290, 59272
DOID:3471	Cowden disease	 	D006223	C8419	657
DOID:6457	Cowden disease	 	D006223	C8419	207
DOID:10546	coxsackievirus infectious disease	 	D003384	 	1604, 2572, 3383, 3685, 3694
DOID:14737	craniofrontonasal syndrome	 	C536456	 	1947
DOID:3840	craniopharyngioma	 	D003397	C2964	3480, 3569
DOID:2340	craniosynostosis	 	D003398	C84655	16476, 2260, 2261, 2263, 3725, 4745, 7291
DOID:13139	crescentic glomerulonephritis	 	 	C35444	1231, 27063, 3815, 4254, 6347, 7490
DOID:11949	Creutzfeldt-Jakob syndrome	46.1	D007562	C26802	102, 1113, 1114, 1509, 199, 358, 361, 4137, 43
DOID:12287	Crimean-Congo hemorrhagic fever	65	D006479	C34682	3569
DOID:8778	Crohn's disease	555	 	C35210	10068, 10392, 1045, 10747, 1080, 10, 11213, 1401, 1432, 1436, 1493, 1524, 1948, 2147, 2153, 2162, 219771, 2209, 2214, 248, 26191, 3119, 3304, 337, 3383, 345611, 3458, 3557, 3563, 3565, 3569, 3576, 3586, 3596, 3604, 3606, 3620, 3651, 3682, 3683, 3689, 3780, 3856, 396, 4049, 4153, 4210, 4276, 4283, 4292, 4312, 4314, 4486, 4552, 4650, 4680, 56244, 58191, 59067, 6283, 6352, 6372, 64127, 6556, 6583, 6584, 6696, 7076, 7097, 7099, 7100, 7124, 7291, 7432, 7433, 7494, 80209, 8856, 9231, 929, 9308, 942, 9966
DOID:2339	Crouzon syndrome	 	D003394	C84653	2263
DOID:2917	cryoglobulinemia	 	D003449	C26736	3557
DOID:12053	cryptococcosis	117.5	D003453	C2967	16176, 20296, 2212, 2214, 2215, 3596, 4153, 6402
DOID:12252	Cushing's syndrome	255	D003480	C2969	2688, 2695, 2696, 3290, 3291, 3557, 3569, 3576, 3606, 3973, 5443
DOID:4418	cutaneous fibrous histiocytoma	 	D018219	C6801	1499, 2100, 2263, 367, 4318, 5743, 6435, 6439, 7080, 871
DOID:9111	cutaneous leishmaniasis	 	D016773	C34768	355, 356
DOID:13271	cutaneous porphyria	 	D017092	C84697	2235
DOID:3144	cutis laxa	 	D003483	C84663	10516, 2006
DOID:5339	cyclic hematopoiesis	288.02	C536227	C3820	1991
DOID:845	cyclothymic disorder	301.13	D003527	 	7466
DOID:2634	cystadenoma	 	D003537	C2972	7428
DOID:1485	cystic fibrosis	277	D003550	C2975	10365, 10399, 10747, 1080, 1179, 135, 1445, 154, 1649, 2212, 22802, 24255, 2638, 26941, 2950, 3383, 3552, 3553, 3557, 3576, 3586, 3605, 3606, 411, 4318, 4538, 4582, 5045, 5320, 5328, 57120, 59341, 6338, 6340, 6348, 6361, 6435, 6439, 6441, 6565, 6590, 6667, 671, 7097, 7099, 7100, 7295, 7439, 820, 9341, 9368
DOID:2975	cystic kidney	 	D052177	C3970	27130, 5311, 7249
DOID:14424	cysticercosis	123.1	D003551	C34520	2670
DOID:1064	cystinosis	 	D003554	C2976	1497
DOID:9266	cystinuria	 	D003555	C84664	11136, 6510, 6519, 9581
DOID:1679	cystitis	595.9	D003556	C26738	3700
DOID:3762	cytochrome-c oxidase deficiency	 	D030401	 	12460, 6647, 9997
DOID:11259	Cytomegalovirus infectious disease	78.5	D003586	C53649	1524, 1950, 1956, 1981, 240, 4218, 5371, 567, 58185, 6376, 6590, 7097, 7099, 7298, 9118, 9308
DOID:8717	decubitus ulcer	707	D003668	C50706	7114
DOID:778	delusional disorder	297.1	D012563	 	1621, 3782
DOID:1307	dementia	290.8	D003704	 	10020, 10763, 10, 1103, 11315, 1137, 1141, 12, 1401, 1869, 2099, 2150, 215, 22084, 25978, 27344, 335, 3416, 3479, 348, 351, 3553, 3576, 4137, 4314, 5300, 57338, 581, 596, 627, 6285, 6311, 643387, 65018, 6507, 6571, 6622, 7124, 7249, 9445
DOID:3213	demyelinating disease	 	D003711	C34527	16612, 3485, 3676, 57165, 5803, 6285
DOID:5214	demyelinating polyneuropathy	 	 	C27062	1959, 4359
DOID:12206	dengue hemorrhagic fever	 	D019595	C34683	3383, 6347
DOID:216	dental caries	521	D003731	C52593	3606
DOID:693	dental enamel hypoplasia	 	D003744	C34529	4763
DOID:4154	dentinogenesis imperfecta	 	D003811	C84667	1834
DOID:3764	Denys-Drash syndrome	 	D030321	C84668	7490
DOID:2723	dermatitis	 	D003872	C2983	10344, 1489, 2150, 27179, 29126, 3106, 339345, 3552, 3569, 3572, 3596, 386653, 3976, 4057, 4318, 5008, 5328, 5329, 6346, 6362, 6401, 6404, 64127
DOID:8505	dermatitis herpetiformis	694	D003874	C26742	4650
DOID:10223	dermatomyositis	710.3	D003882	C26744	177, 26280, 3439, 3456, 355, 3586, 3600, 4313, 4316, 4318, 6347
DOID:8913	dermatophytosis	110.9	D003881	C26745	348
DOID:2658	dermoid cyst	 	D003884	C9011	3858, 3875
DOID:6785	desmoplastic small round cell tumor	 	D058405	C8300	222962
DOID:2796	desquamative interstitial pneumonia	 	 	C35288	21
DOID:9409	diabetes insipidus	253.5	D003919	C43263	359, 551
DOID:9351	diabetes mellitus	250	D003920	C2985	100132285, 10135, 10628, 10891, 10, 11132, 116484, 117514, 1231, 133, 1401, 1493, 151, 154, 155, 1594, 16189, 1636, 1649, 177, 18383, 197, 19, 208, 213, 2152, 217, 22229, 231, 246775, 26191, 26291, 2638, 2645, 2678, 2688, 2944, 2950, 2952, 3117, 3119, 3240, 3290, 3291, 3303, 3375, 3383, 348, 3553, 3557, 3565, 3566, 3569, 3576, 3586, 3596, 3606, 3615, 3630, 367, 3689, 3767, 3803, 387082, 3952, 3953, 3990, 3991, 4000, 4009, 4018, 4023, 4276, 4489, 4521, 4524, 4535, 4567, 4760, 488, 5054, 5087, 5092, 5105, 5321, 56729, 567, 5802, 590, 5967, 5968, 6347, 6387, 6401, 6402, 6647, 6648, 685, 7097, 7099, 7124, 7295, 7350, 7466, 7486, 823, 847, 929, 9332, 9370, 9619, 9807
DOID:11713	diabetic angiopathy	 	D003925	C35610	133, 3479
DOID:1837	diabetic ketoacidosis	250.1	D016883	C50530	359, 3767
DOID:2370	diabetic nephropathy	250.4	D003928	C84417	10855, 116487, 1234, 133, 1432, 1471, 1490, 1535, 1634, 1636, 1667, 1668, 177, 185, 20393, 2168, 231, 23892, 26416, 26585, 2673, 2697, 27035, 27063, 3172, 3375, 3383, 338, 345, 3479, 348, 3553, 3557, 3569, 3570, 3606, 3725, 387082, 3990, 4018, 4023, 4162, 4192, 4313, 4317, 4318, 4353, 4524, 50566, 5444, 59272, 6352, 6383, 6402, 64032, 64131, 64132, 6446, 64537, 6513, 6559, 655, 6648, 6690, 7077, 7220, 72, 7350, 7351, 800, 81, 8848, 89821, 9370, 9844
DOID:9743	diabetic neuropathy	250.6	D003929	C26748	11596, 142, 177, 19697, 5327, 5970, 7099, 7295, 7351
DOID:12785	diabetic polyneuropathy	357.2	D003929	 	177, 7422
DOID:8947	diabetic retinopathy	362	D003930	C34538	11863, 123, 1493, 1604, 177, 183, 185, 19016, 19225, 1977, 2022, 2169, 231, 24356, 2668, 287526, 29527, 3105, 3106, 3240, 3371, 3383, 3458, 3479, 3486, 3569, 3576, 3630, 3673, 387082, 405, 4261, 4312, 4313, 4524, 5054, 5346, 57016, 5972, 627, 6352, 6401, 6402, 652, 6648, 7078, 7124, 7422, 843, 8795, 928, 9370, 9415
DOID:1339	Diamond-Blackfan anemia	 	D029503	C61236	28982, 6165, 6218, 6223, 6229
DOID:1580	diffuse scleroderma	 	D045743	 	1231, 6375
DOID:11198	DiGeorge syndrome	279.11	D004062	C2989	10659
DOID:14200	diplopia	368.2	D004172	C37941	350
